"License Number","Municipality or First Nation","Store Name",Address,"Store Application Status",Website
CRSA1228818,OTTAWA,"Buzzed Buds","179 GEORGE ST UNIT 101","Authorized to Open",https://www.buzzedbuds.co/
CRSA1219314,WATERLOO,"Canna Cabana","440 ERB ST W UNIT B2","Authorized to Open",https://cannacabana.com/
CRSA1370133,"NORTH BAY","Cheerful Charlie's Cannabis Co.","35 BEAUCAGE PARK RD","Authorized to Open",https://www.cccanna.co/
CRSA1222787,PICKERING,"Spiritleaf Cannabis","1792 LIVERPOOL RD UNIT 107","Authorized to Open",https://spiritleaf.ca/collections/spiritleaf-pickering
CRSA1354821,TORONTO,"The Hunny Pot Cannabis Co.","145 SILVER REIGN DR","Authorized to Open",https://thehunnypot.com
CRSA1235430,HAMPTON,"CANNABIS XPRESS","1648 TAUNTON RD E UNIT 2","Authorized to Open",https://www.cannabis-xpress.com
CRSA1204816,WESTPORT,"Olympia Cannabis Westport  (OC Westport)","17 CHURCH STREET UNIT 1","Authorized to Open",
CRSA1372271,MACTIER,"EIGHTH CANNABIS","21 HIGH ST SUITE 3A RR 1","Authorized to Open",
CRSA1212214,SUDBURY,"Lost Lake","42 LORNE ST. UNIT 4","Authorized to Open",
CRSA1226193,HARRISTON,"VIP Cannabis Company","29 ELORA ST S","Authorized to Open",
CRSA1207246,HAWKESBURY,"SHINYBUD CANNABIS CO. 299 MAIN","299 MAIN ST E","Authorized to Open",https://shinybud.com/hawkesbury/
CRSA1370679,MISSISSAUGA,"Paramount Cannabis Co.","4040 CREDITVIEW RD UNIT 20","Authorized to Open",
CRSA1219941,"FORT ERIE","Garden City Cannabis Co","310 GARRISON RD UNIT E-02","Authorized to Open",https://gardencitycannabisco.com
CRSA1225916,BURLINGTON,"Sparkle Cannabis Company","730 GUELPH LINE UNIT 1","Authorized to Open",
CRSA1226327,ROCKLAND,"Big River Cannabis - Laurier","2613 LAURIER ST","Authorized to Open",https://rockland.bigrivercannabis.ca/
CRSA1209756,MILTON,"Piffingtons Cannabis Co","100 BRONTE ST S UNIT 4","Authorized to Open",
CRSA1372150,OSHAWA,"Twisted Roots Cannabis Inc.","191 BLOOR ST E UNIT 2","Authorized to Open",https://www.trcannabis.ca
