"License Number","Municipality or First Nation","Store Name",Address,"Store Application Status",Website
CRSA1210648,SIMCOE,"Rolling Cannabis","6 VICTORIA ST","Authorized to Open",
CRSA1452811,TORONTO,"Fogtown Flower","230 MERTON ST","Authorized to Open",https://fogtown.ca/merton/
CRSA1452821,"CARLETON PLACE","Paradise Cannabis","167 FRANKTOWN RD UNIT 1","Authorized to Open",
CRSA1452904,VANIER,"HIGHTIES CANNABIS","177-179 MONTREAL RD","Authorized to Open",https://www.highties.ca/vanier/
CRSA1452951,"ST CATHARINES","Discounted Cannabis","100 FOURTH AVE UNIT 10","Authorized to Open",https://www.discountedcannabis.ca
CRSA1185592,NEWCASTLE,"Your Local Cannabis","45 KING AVE W UNIT 2&3","Authorized to Open",https://yourlocalcannabis.com/newcastle
CRSA1197308,YORK,"Smoke Lab Cannabis","2427 EGLINTON AVE W UNIT 2","Authorized to Open",
CRSA1186299,GEORGETOWN,"CANNACO THE CANNABIS COMPANY","28 MAIN ST S","Authorized to Open",http://www.cannacocannabis.ca/
CRSA1204261,WATERLOO,Session7,"210-220 KING ST N UNIT G2","Authorized to Open",https://session7.ca
CRSA1274723,"NORTH BAY","Happy Life","42 LAKESHORE DR","Authorized to Open",
CRSA1453470,YORK,"Cannabis Hut","2175 WESTON RD UNIT 1, 2","Authorized to Open",https://Cannabishut.ca
CRSA1192657,"NORTH YORK","Paradise AIR","650 SHEPPARD AVE E UNIT 7","Authorized to Open",https://paradiseair.ca
CRSA1190859,TORONTO,"CABIN CANNABIS","688 BLOOR ST W","Authorized to Open",https://www.cabincannabis.ca
CRSA1186000,ETOBICOKE,"Royal Cannabis Supply Company","105 CLAIREPORT CRES","Authorized to Open",
CRSA1453570,LONDON,"Discounted Cannabis","590 OXFORD ST E UNIT B","Authorized to Open",https://www.discountedcannabis.ca
CRSA1274898,EMSDALE,"Pure Plant Cannabis","12 HWY 518 EAST UNIT C","Authorized to Open",https://pureplantcannabis.com/
CRSA1188433,MILTON,"THE HUNNY POT CANNABIS CO.","101 JAMES SNOW PKY N UNIT#6 & 7","Authorized to Open",https://thehunnypot.com/
CRSA1190448,BRAMPTON,"One Plant Brampton","160 GREAT LAKES DR UNIT 123A","Authorized to Open",https://www.oneplant.ca/
CRSA1453802,ORILLIA,Budtimez,"190 MEMORIAL AVE UNIT C","Authorized to Open",https://budtimez.ca
CRSA1172754,LONDON,"VALUE BUDS","979 WELLINGTON RD SUITE 106A","Authorized to Open",https://www.valuebuds.com
CRSA1191422,CAYUGA,"Forty3Eighty Cannabis Co.","5 TALBOT STREET EAST, UNIT 1","Authorized to Open",https://forty3eighty.com/
CRSA1252482,NEPEAN,"Royal Cannabis Haus","22 NORTHSIDE RD","Authorized to Open",https://www.therch.ca
CRSA1453896,"ST CATHARINES","Cannabis Cupboard","318 ONTARIO ST UNIT 9A","Authorized to Open",https://cannabiscupboard.ca
CRSA1192761,LONDON,"CLOUD 29 RICHMOND","660 RICHMOND ST UNIT 6","Authorized to Open",
CRSA1189330,SCARBOROUGH,"Growers Retail","821 BRIMLEY RD","Authorized to Open",https://www.growersretailcannabis.ca
CRSA1189343,"EAST YORK","Growers Retail","1021 PAPE AVE","Authorized to Open",https://www.growersretailcannabis.ca
CRSA1292317,LONDON,"VIP Cannabis Company","1984 DUNDAS ST E UNIT A1","Authorized to Open",
CRSA1195539,WOODSTOCK,"VIP Cannabis Co.","930 DUNDAS ST UNIT 107","Authorized to Open",
CRSA1454336,TORONTO,"Kindling Cannabis","1821 QUEEN ST E UNIT 5","Authorized to Open",
CRSA1304398,HEARST,"Evergreen Leaf","631 FRONT STREET UNIT#01","Authorized to Open",http://www.evergreenleaf.ca/
CRSA1177702,AURORA,"MALIBU ROAD","150 HOLLIDGE BLVD UNIT 5","Authorized to Open",https://www.maliburoad.shop/
CRSA1172422,TORONTO,"Davenport Leaf","139 DUPONT ST","Authorized to Open",https://www.davenportleaf.com
CRSA1266099,IGNACE,"Toke House","105 MAIN ST HWY 17 UNIT 1","Authorized to Open",https://tokehouse.ca/shop-ignace/
CRSA1300059,HAMILTON,"Silverleaf Cannabis","736A QUEENSTON RD","Authorized to Open",
CRSA1320551,ETOBICOKE,416CANNABIS,"419 ATTWELL DR","Authorized to Open",https://416cannabis.ca
CRSA1292732,KAPUSKASING,"True North Cannabis Co.","18 CIRCLE ST","Authorized to Open",https://www.tncc.ca/
CRSA1191456,STOUFFVILLE,"JOLLY GREEN CANNABIS","6134 MAIN ST","Authorized to Open",
CRSA1193245,HUNTSVILLE,"True North Cannabis Co.","30 MAIN ST E","Authorized to Open",https://www.tncc.ca/
CRSA1193798,SCARBOROUGH,"Kiosk Cannabis","4915 STEELES AVE E UNIT 11","Authorized to Open",https://www.kioskcannabis.com
CRSA1192853,BELLEVILLE,"SATIVA BLISS CANNABIS BOUTIQUE","200 FRONT ST UNIT 101","Authorized to Open",https://sativabliss.ca
CRSA1457069,AURORA,"Red Star Cannabis Co.","15191 YONGE ST","Authorized to Open",https://www.redstarcannabisco.com
CRSA1172618,HAMILTON,"HIGHLIFE CANNABIS UP AFFX","919 UPPER PARADISE RD UNIT 5","Authorized to Open",https://highlife.ca
CRSA1187392,TORONTO,THISEL,"192 QUEEN'S QUAY EAST UNIT A5","Authorized to Open",
CRSA1192892,STRATHROY,"TRUE NORTH CANNABIS CO.","51 FRONT ST W","Authorized to Open",https://TNCC.ca
CRSA1299396,KITCHENER,"True North Cannabis Co.","4396 KING ST E UNIT 1","Authorized to Open",https://www.tncc.ca/
CRSA1187362,ORLEANS,"INSPIRED CANNABIS CO","6489 JEANNE D'ARC BLVD N","Authorized to Open",https://www.inspiredcannabis.ca
CRSA1196265,"NORTH BAY","Cannabis Jacks","1881 CASSELLS ST","Authorized to Open",https://cannabisjacks.ca/shop-north-bay
CRSA1188669,LONDON,"Tokyo Smoke","1240 COMMISSIONERS RD W UNIT 111","Authorized to Open",https://ca.tokyosmoke.com/pages/tokyo-smoke-london-byron-village
CRSA1189761,SCARBOROUGH,Cannabuds,"2776 KENNEDY RD","Authorized to Open",https://shopcannabuds.ca
CRSA1193139,TORONTO,"Cosmic Charlie's","821 QUEEN ST W","Authorized to Open",https://www.cosmiccharlies.ca/
CRSA1299743,CAMBRIDGE,"VIP Cannabis Company","304 ST ANDREWS ST SUITE 10","Authorized to Open",
CRSA1293689,THORNBURY,"Soma Leaf Company","99 KING ST E UNIT C","Authorized to Open",https://www.somaleaf.ca
CRSA1197527,"PORT SYDNEY","The Green Bouquet Cannabis","15 SOUTH MARY LAKE RD UNIT 2","Authorized to Open",
CRSA1287373,TORONTO,"Plug Canna6is","539 ST CLAIR AVE W","Authorized to Open",
CRSA1276267,DRYDEN,"COST CANNABIS","439 GOVERNMENT ST UNIT 5","Authorized to Open",https://costcan.ca/
CRSA1194893,STOUFFVILLE,"Plant Republic","15301 HIGHWAY 48 UNIT 7","Authorized to Open",https://www.plantrepublic.ca
CRSA1196815,BURLINGTON,"THE FARMHOUSE CANNABIS CO.","666 APPLEBY LINE SUITE C101","Authorized to Open",https://www.welcometofarmhouse.com
CRSA1190106,"ST CATHARINES","One Plant St. Catharines","343 GLENDALE AVE SUITE 520","Authorized to Open",https://www.oneplant.ca/locations/st-catharines
CRSA1191963,OTTAWA,"BLUEBIRD CANNABIS CO.","5530 MANOTICK MAIN ST UNIT 1B","Authorized to Open",https://bluebirdcannabis.store/
CRSA1461370,PICKERING,"Consumers Cannabis","1477 BAYLY ST UNIT 6","Authorized to Open",
CRSA1187475,HAMILTON,"Barttowa Tree","1081 BARTON ST E","Authorized to Open",https://barttowatree.ca
CRSA1456240,KITCHENER,"Discounted Cannabis","809 VICTORIA ST N SUITE 7","Authorized to Open",https://www.discountedcannabis.ca
CRSA1456254,WINDSOR,"Discounted Cannabis","1776 UNIVERSITY AVE W","Authorized to Open",https://www.discountedcannabis.ca
CRSA1189684,BURLINGTON,BUDSSMOKE,"2017 LAKESHORE RD","Authorized to Open",
CRSA1280154,SUDBURY,"HIGHLIFE CANNABIS LASALLE","1855 LASALLE BLVD","Authorized to Open",https://highlife.ca
CRSA1279939,CHELMSFORD,"HIGHLIFE CANNABIS CHELMSFORD","3454 ERRINGTON AVE","Authorized to Open",
CRSA1279937,ESPANOLA,"HIGHLIFE CANNABIS ESPANOLA","800 CENTRE ST","Authorized to Open",https://highlife.ca
CRSA1190750,WALLACEBURG,"Haight - Ashbury","302 JAMES ST","Authorized to Open",https://www.myhaightashbury.ca
CRSA1185924,SARNIA,"The We Store","889 EXMOUTH ST UNIT 11","Authorized to Open",https://thewestore.com
CRSA1172547,WINDSOR,"THE WE STORE","1800 HURON CHURCH RD UNIT B","Authorized to Open",https://thewestore.com
CRSA1456471,WINDSOR,"Greentown Cannabis Discount Hut","74 CHATHAM ST W","Authorized to Open",
CRSA1285968,"SOUTH PORCUPINE","SESSIONS CANNABIS - SOUTH PORCUPINE","4900 ON-101 UNIT A04","Authorized to Open",https://www.sessions.ca/locations/4900-highway-101-unit-a04-south-porcupine-dis…
CRSA1277690,"GOULAIS RIVER","SESSIONS CANNABIS GOULAIS RIVER","2771 ON-17 UNIT 1","Authorized to Open",https://www.sessions.ca/locations/2771-highway-17-north-goulais-river-dispensar…
CRSA1196666,BRANTFORD,"Sessions Cannabis - Brantford","175-181 LYNDEN RD, UNIT F2","Authorized to Open",
CRSA1189609,AURORA,"SESSIONS CANNABIS - AURORA","15480 BAYVIEW AVE UNIT D0103","Authorized to Open",https://www.sessions.ca/locations/15440-bayview-avenue-aurora/
CRSA1173571,OSHAWA,"Old West Cannabis Company","215 KING ST E","Authorized to Open",https://www.oldwestcannabis.ca
CRSA1198357,BURLINGTON,PLEASANTREES,"372 BRANT ST","Authorized to Open",https://www.pleasantreescorp.ca
CRSA1187730,WOODSTOCK,"STELLAR Bud","951 DEVONSHIRE AVE UNIT 3","Authorized to Open",
CRSA1281650,PARKHILL,"STELLAR BUD","249 PARKHILL MAIN ST","Authorized to Open",
CRSA1303504,"PORT COLBORNE","Green King Cannabis","111 CLARENCE ST UNIT A1","Authorized to Open",https://www.greenkingcannabis.com
CRSA1191192,"OWEN SOUND","Moonfire Cannabis","1050 2ND AVE E SUITE 5","Authorized to Open",https://www.moonfirecannabis.ca
CRSA1457052,HAMILTON,"THE HUNNY POT CANNABIS CO.","40 CENTENNIAL PKY N SUITE 5","Authorized to Open",https://thehunnypot.com
CRSA1457310,OTTAWA,"The Hunny Pot Cannabis Co","1642 MERIVALE RD, UNIT A01014A","Authorized to Open",https://thehunnypot.com
CRSA1457311,OTTAWA,"The Hunny Pot Cannabis Co","1405 CARLING AVE UNIT 1395","Authorized to Open",https://thehunnypot.com/
CRSA1468787,OSHAWA,"Kindling Cannabis","22 SIMCOE ST S","Authorized to Open",https://www.shopkindling.ca
CRSA1457312,OTTAWA,"THE HUNNY POT CANNABIS CO.","121 CLARENCE ST","Authorized to Open",https://thehunnypot.com/
CRSA1193491,KITCHENER,"PUR CANNABIS-KING W","147 KING ST W","Authorized to Open",https://www.cannabistshop.ca/cannabis-dispensaries
CRSA1193341,BRAMPTON,"CANNA CABANA","148 WEST DR UNIT C108","Authorized to Open",https://cannacabana.com/
CRSA1457313,OTTAWA,"THE HUNNY POT CANNABIS CO.","206 BANK ST","Authorized to Open",https://thehunnypot.com
CRSA1458592,LAKEFIELD,"ONE PLANT LAKEFIELD","112 QUEEN ST, UNIT #2","Authorized to Open",https://oneplant.ca
CRSA1196755,NORTHYORK,"Moksha Cannabis","4720 JANE ST UNIT 6","Authorized to Open",https://www.mokshacannabis.ca
CRSA1285841,SCARBOROUGH,"MOKSHA CANNABIS","2870 ELLESMERE RD UNIT 2852","Authorized to Open",https://Www.mokshacannabis.ca
CRSA1185957,SCARBOROUGH,Stok'd,"2408 KINGSTON RD","Authorized to Open",https://www.stokd.ca
CRSA1194732,BOBCAYGEON,"Rokeby Cannabis","48 MAIN STREET  BOX 909","Authorized to Open",https://rokebycannabis.ca
CRSA1172739,LANSDOWNE,"VILLAGE BUD","1136 PRINCE STREET","Authorized to Open",https://villagebud.ca/#/menu
CRSA1194211,BRANTFORD,"CLOUD NINE CANNABIS","26 BRANTWOOD PARK RD UNIT 4","Authorized to Open",
CRSA1172478,"ST THOMAS","Bob's Bud Emporium","483 TALBOT ST","Authorized to Open",https://bobsbudemporium.ca
CRSA1200663,"STURGEON FALLS","POP’S CANNABIS CO. STURGEON FALLS","12006 17 HWY E SUITE 2","Authorized to Open",https://popscannabis.ca/shop
CRSA1193299,MILTON,"CANNA CABANA","1155 MAPLE AVE UNIT F014","Authorized to Open",https://cannacabana.com/
CRSA1193612,AURORA,ASHARIO,"15114 YONGE ST","Authorized to Open",
CRSA1198418,"NORTH YORK",ASHARIO,"6464 YONGE ST UNIT 187","Authorized to Open",
CRSA1192992,"NORTH YORK",ASHARIO,"1111A FINCH AVE W UNIT 1","Authorized to Open",
CRSA1199841,MIDLAND,"Speakeasy Cannabis Midland","9225 93 HWY UNIT 16","Authorized to Open",https://speakeasycannabis.ca
CRSA1188260,GLOUCESTER,"Purple Meadow Cannabis","2059 MEADOWBROOK RD","Authorized to Open",https://www.purplemeadow.ca
CRSA1458726,STRATHROY,"SESSIONS CANNABIS - STRATHROY","51 FRONT ST E SUITE 6A","Authorized to Open",https://www.sessions.ca/locations/51-front-street-e-strathroy/
CRSA1189478,KINGSTON,"Tokyo Smoke Princess Street","2790 PRINCESS ST","Authorized to Open",https://ca.tokyosmoke.com/pages/tokyo-smoke-kingston-2790-princess
CRSA1458858,WINDSOR,"Discounted Cannabis","2601 LAUZON PKY UNIT 510","Authorized to Open",https://www.discountedcannabis.ca
CRSA1223703,BRANTFORD,"Hypnotic Cannabis","116 DALHOUSIE ST","Authorized to Open",
CRSA1193850,TORONTO,"HIMALAYA CANNABIS","871 DUNDAS ST W","Authorized to Open",https://himalayacannabis.ca
CRSA1178469,HAMILTON,"CABBAGE BROTHERS","192 LOCKE ST S","Authorized to Open",https://www.cabbagebros.com
CRSA1290448,CALLANDER,BUDSSMOKE,"6 MAIN ST S UNIT 4","Authorized to Open",
CRSA1266909,LONDON,"Area 420","226 DUNDAS ST","Authorized to Open",
CRSA1196153,BRANTFORD,"TONIK CANNABIS","560 WEST ST SUITE B","Authorized to Open",https://tonikcannabis.com
CRSA1316285,MISSISSAUGA,"Pop's Cannabis Co.","960 SOUTHDOWN RD SUITE C7","Authorized to Open",https://popscannabis.ca/
CRSA1193502,ACTON,BUDDERS,"372 QUEEN ST E UNIT A4","Authorized to Open",https://www.budderscannabis.com
CRSA1200600,"KIRKLAND LAKE","POP’S CANNABIS CO. KIRKLAND LAKE","150 GOVERNMENT RD W UNIT 260","Authorized to Open",https://popscannabis.ca/shop
CRSA1459822,ETOBICOKE,"Crown Leaf","5010 STEELES AVE W UNIT 1","Authorized to Open",
CRSA1200999,"ST THOMAS","Fika Local Cannabis","1063 TALBOT ST UNIT L0002B","Authorized to Open",https://fikacannabis.com/shop
CRSA1200994,SUDBURY,"FIKA LOCAL CANNABIS","2408 LONG LAKE RD UNIT E006","Authorized to Open",https://fikacannabis.com/shop
CRSA1197648,LONDON,"Cannabis Link","509 COMMISSIONERS RD W UNIT A35","Authorized to Open",
CRSA1189778,KITCHENER,"The Bridgeport Cannabis Co.","8 BLOOMINGDALE RD N UNIT 4","Authorized to Open",https://bridgeportcannabis.ca
CRSA1196709,"NORTH YORK","OH CANNABIS","344 WILSON AVE","Authorized to Open",https://OHCANNABISSTORE.COM
CRSA1480205,TORONTO,"Veggie Cannabis","2903 DUNDAS ST W","Authorized to Open",
CRSA1205488,ORILLIA,"Sessions Cannabis Orillia","30 DIANA DR","Authorized to Open",https://www.sessions.ca
CRSA1196147,KANATA,"Unplug Cannabis Co.","4055 CARLING AVE UNIT 4","Authorized to Open",https://www.unplugcannabis.com
CRSA1258804,LONDON,"KANNABIS KING","1066 ADELAIDE ST N UNIT 4","Authorized to Open",https://kannabisking.ca
CRSA1450611,LONDON,"Value Buds","109 FANSHAWE PARK RD E UNIT 9","Authorized to Open",https://www.valuebuds.com
CRSA1196463,TORONTO,"Red Rock Cannabis Co.","6 CHURCH ST","Authorized to Open",https://Theredrockcannabis.ca
CRSA1200866,TILLSONBURG,"The Underground","107F CONCESSION ST E","Authorized to Open",https://www.theunderground.store/
CRSA1188980,"EAST YORK","Plant Republic","1031 PAPE AVE","Authorized to Open",https://www.plantrepublic.ca
CRSA1199826,OSHAWA,"Cannabis Street","1100 SIMCOE ST N UNIT 3","Authorized to Open",https://www.cannabisstreet.ca
CRSA1195781,TORONTO,"Spiritleaf Beaches","2116 QUEEN ST E UNIT J","Authorized to Open",https://spiritleaf.ca/collections/spiritleaf-beaches
CRSA1202440,UXBRIDGE,"CANNABIS XPRESS","170 REACH ST UNIT 2","Authorized to Open",https://www.cannabis-xpress.com
CRSA1200995,WINDSOR,"FIKA LOCAL CANNABIS","3222A DOUGALL AVE","Authorized to Open",https://fikacannabis.com/shop
CRSA1200993,BARRIE,"FIKA LOCAL CANNABIS","33 MAPLEVIEW DR W UNIT C007","Authorized to Open",https://fikacannabis.com/shop
CRSA1199460,"NIAGARA FALLS","Happy Hippy Cannabis Store","3464 CATTELL DR UNIT 4","Authorized to Open",https://happyhippycannabis.ca
CRSA1279529,ARNPRIOR,"GREEN VALLEY CANNABIS COMPANY","115 JOHN ST N","Authorized to Open",https://WWW.GREENVALLEYCANNABISCO.COM
CRSA1200943,"PARRY SOUND","Windswept Cannabis","78 CHURCH ST","Authorized to Open",https://www.windsweptcannabisstore.ca/
CRSA1303742,STOUFFVILLE,"Princess Buds","6380 MAIN ST UNIT 9","Authorized to Open",
CRSA1196379,STRATHROY,"One Plant Strathroy","70 CARROLL ST E UNIT A6 & A7","Authorized to Open",https://www.oneplant.ca
CRSA1191845,OTTAWA,"Highties Cannabis Store","484 RIDEAU ST","Authorized to Open",https://www.highties.ca/downtown/
CRSA1186858,AJAX,"4K Cannabis","75 BAYLY ST W UNITS 12, 13, 14","Authorized to Open",https://4kcannabis.ca
CRSA1196910,BURLINGTON,"Sweet Releafs Inc","728 BURLOAK DRIVE UNIT C4","Authorized to Open",
CRSA1194441,TORONTO,"garden of Eden cannabis","1744 JANE STREET","Authorized to Open",https://gofe.ca
CRSA1317989,MISSISSAUGA,"Pop's Cannabis Co.","1125 BLOOR ST E SUITE 13","Authorized to Open",https://popscannabis.ca/shop
CRSA1202091,BARRIE,"BUDS 4 LESS","489 YONGE ST UNIT 2","Authorized to Open",https://www.buds4less.ca
CRSA1461158,OSHAWA,"Friendly Stranger","491 GIBB ST UNIT 1","Authorized to Open",https://friendlystranger.com/
CRSA1461221,"NORTH BAY","Highlife 2690 Trout Lake","2690 TROUT LAKE RD UNIT 5","Authorized to Open",
CRSA1304892,YORK,BUDSIDE,"2191 WESTON RD","Authorized to Open",
CRSA1196819,HAMILTON,"Sessions Cannabis - Dundurn","50 DUNDURN ST S UNIT 6","Authorized to Open",https://www.sessions.ca/locations/50-dundurn-st-s-hamilton-dispensary/
CRSA1202168,"ST THOMAS","STATION HOUSE CANNABIS CO.","150 BURWELL RD","Authorized to Open",https://www.stationhousecannabis.co
CRSA1246836,TORONTO,Insalata,"550 FRONT ST W UNIT 59","Authorized to Open",https://insalatamarket.com/front-street/
CRSA1462636,TRENTON,"One Plant Trenton","150 FRONT ST UNIT 4A","Authorized to Open",
CRSA1206777,KINGSTON,"FIRE & FLOWER CANNABIS CO.","75 BROCK ST","Authorized to Open",https://fireandflower.com/
CRSA1462418,TORONTO,"One Plant St.Clair","76 ST CLAIR AVE W, UNIT 101-102","Authorized to Open",https://www.oneplant.ca/
CRSA1193298,AJAX,"CANNA CABANA","170 KINGSTON RD E UNIT B4","Authorized to Open",https://cannacabana.com/
CRSA1462422,ETOBICOKE,"ONE PLANT REXDALE","680 REXDALE BLVD UNIT 5","Authorized to Open",https://www.oneplant.ca/
CRSA1462425,ETOBICOKE,"One Plant Dundas","5485 DUNDAS ST W","Authorized to Open",https://www.oneplant.ca/
CRSA1462426,BURLINGTON,"One Plant Burlington New St.","3007 NEW ST","Authorized to Open",https://www.oneplant.ca/locations/burlington-new-street
CRSA1462430,ETOBICOKE,"One Plant Kipling","1735 KIPLING AVE, BLDG D, UNIT 17","Authorized to Open",
CRSA1201261,THORNTON,Ashario,"239 BARRIE ST","Authorized to Open",
CRSA1188415,SARNIA,"YOUR HIGHNESS CANNABIS","415 EXMOUTH ST UNIT 104","Authorized to Open",https://yourhighnesscannabis.ca
CRSA1201885,HANMER,"Pop's Cannabis Co. Hanmer","5118 OLD HIGHWAY 69 N., UNIT 2","Authorized to Open",https://popscannabis.ca/shop
CRSA1196186,GLOUCESTER,"OUT & ABOUT CANNABIS","665 EARL ARMSTRONG RD UNIT 8","Authorized to Open",https://www.outabout.ca
CRSA1199449,OSHAWA,"Kryptonite Cannabis","555 ROSSLAND RD E UNIT D","Authorized to Open",https://kryptonitecannabis.ca/shop/
CRSA1175790,"NORTH BAY","Cheerful Charlies Cannabis Co.","14 OSPREY MIIKAN RD","Authorized to Open",https://www.cccanna.co/
CRSA1266811,"STONEY CREEK","NEKU CANNABIS","89 KING ST E","Authorized to Open",https://nekucannabis.com
CRSA1266808,HAMILTON,"NEKU CANNABIS","38 HESS ST S","Authorized to Open",https://nekucannabis.com/
CRSA1197840,ETOBICOKE,"RESERVED CANNABIS","944 THE QUEENSWAY","Authorized to Open",https://www.reservedcannabis.ca
CRSA1451764,TORONTO,"INSPIRED CANNABIS CO.","1003 KINGSTON RD","Authorized to Open",https://www.inspiredcannabis.ca
CRSA1199604,"WASAGA BEACH","SESSIONS CANNABIS WASAGA BEACH","3 MARKET LANE UNIT 1","Authorized to Open",https://www.sessions.ca/wasaga-dispensary-menu/
CRSA1463349,"FORT ERIE","Fort Erie Cannabis","1264 GARRISON RD UNIT 7","Authorized to Open",https://www.forteriecannabis.ca
CRSA1192826,SCARBOROUGH,"Good Cookie Malvern","5741 FINCH AVE E UNIT 2","Authorized to Open",
CRSA1305473,YORK,"Spot420 The Cannabis store","2147 WESTON RD","Authorized to Open",https://www.spot420.ca
CRSA1376788,SARNIA,"Homegrown Cannabis","173 CHRISTINA ST N","Authorized to Open",
CRSA1206776,OTTAWA,"FIRE & FLOWER CANNABIS CO.","129 YORK ST","Authorized to Open",https://fireandflower.com/
CRSA1206774,CHATHAM,"FIRE & FLOWER CANNABIS CO.","877 ST CLAIR ST UNIT D8","Authorized to Open",https://fireandflower.com/
CRSA1206770,TORONTO,"FRIENDLY STRANGER","501 CHURCH ST UNIT 4B","Authorized to Open",https://friendlystranger.com/
CRSA1206772,"NORTH YORK","FIRE & FLOWER CANNABIS CO.","1542 JANE ST UNIT 4","Authorized to Open",https://fireandflower.com/shop
CRSA1206771,"NORTH YORK","FIRE & FLOWER CANNABIS CO.","1616 WILSON AVE UNIT 1","Authorized to Open",https://fireandflower.com/shop
CRSA1206749,TORONTO,"FIRE & FLOWER CANNABIS CO.","1980 ST CLAIR AVE W F108","Authorized to Open",https://fireandflower.com/shop
CRSA1206750,ORILLIA,"HAPPY DAYZ","69 MISSISSAGA ST E","Authorized to Open",https://friendlystranger.com/shop
CRSA1206751,CAMBRIDGE,"FRIENDLY STRANGER","200 FRANKLIN BLVD UNIT F39","Authorized to Open",https://friendlystranger.com/shop
CRSA1206763,BARRIE,"Friendly Stranger","79 DUNLOP ST W UNIT B","Authorized to Open",https://friendlystranger.com/
CRSA1206764,MIDLAND,"Friendly Stranger","542 BAY ST","Authorized to Open",https://friendlystranger.com/shop
CRSA1206766,DUNDAS,"Friendly Stranger","112-101 OSLER DR","Authorized to Open",https://friendlystranger.com/shop
CRSA1206767,BURLINGTON,"Friendly Stranger","1025 & 1059 PLAINS RD E UNIT 3","Authorized to Open",https://friendlystranger.com/shop
CRSA1206769,OSHAWA,"FRIENDLY STRANGER","204 RITSON RD N SUITE C5.5","Authorized to Open",https://friendlystranger.com/shop
CRSA1198551,LONDON,"THE HERBARY","1120 WELLINGTON RD UNIT 4","Authorized to Open",https://www.theherbary.com
CRSA1192410,TIMMINS,"Cannabis Jacks","1869 RIVERSIDE DR UNIT 1B","Authorized to Open",https://www.cannabisjacks.ca/order-timmins
CRSA1190535,"VAL CARON","CANNABIS JACKS","3020 OLD HWY 69 N UNIT 1","Authorized to Open",https://www.cannabisjacks.ca/sudbury
CRSA1304280,GUELPH,"J. Supply Co. Guelph","1515 GORDON ST UNIT 106","Authorized to Open",
CRSA1197068,"NORTH YORK","Matchbox Cannabis","6115 STEELES AVE W","Authorized to Open",
CRSA1199184,ORLEANS,SPIRITLEAF,"2026 TENTH LINE RD UNIT B2","Authorized to Open",https://spiritleaf.ca/collections/spiritleaf-orleans
CRSA1189874,"ELLIOT LAKE","Miss Jones","40 HILLSIDE DR S UNIT 3","Authorized to Open",https://missjonescannabis.com/
CRSA1201832,"NEW LISKEARD","POP'S CANNABIS CO. NEW LISKEARD","883303 HIGHWAY 65 UNIT 11","Authorized to Open",https://popscannabis.ca/shop
CRSA1308961,ATHENS,"Village Bud","26 MAIN ST E","Authorized to Open",https://villagebud.ca
CRSA1195579,BRAMPTON,"Chamba Cannabis Co","20 GILLINGHAM DR UNIT 609","Authorized to Open",https://www.chamba.ca
CRSA1188920,GLOUCESTER,Wavy,"2084 MONTREAL RD","Authorized to Open",https://www.bewavy.ca
CRSA1465296,"NORTH YORK","Yerba Buena Cannabis","910 SHEPPARD AVE W","Authorized to Open",https://ybcannabis.com/
CRSA1201224,MILTON,"FIKA LOCAL CANNABIS","1290 STEELES AVENUE EAST UNIT C3.3","Authorized to Open",https://fikacannabis.com/
CRSA1196896,ARTHUR,"The Green Cloud Cannabis","7999 WELLINGTON RD 109 BUILDING 1 UNIT 3","Authorized to Open",https://thegreencloudcannabis.com/
CRSA1464777,WATERLOO,"Pop's Cannabis Co.","922 ERB ST W UNIT 6","Authorized to Open",https://popscannabis.ca/
CRSA1197214,BARRIE,"SPIRITLEAF PARK PLACE","120 PARK PLACE BOULEVARD UNIT 1 BUILDING 3","Authorized to Open",https://spiritleaf.ca/collections/spiritleaf-park-place
CRSA1298360,TORONTO,"WOW World of Weed","3412 WESTON ROAD","Authorized to Open",
CRSA1464623,KINGSTON,"710 Kingston","477 PRINCESS ST","Authorized to Open",https://710kingston.com
CRSA1196435,LINDSAY,"GreenLeaf Cannabis","351 KENT ST W UNIT 1","Authorized to Open",
CRSA1185276,TORONTO,"AROMA CANNABIS EMPORIUM","1605 QUEEN ST W UNIT 1","Authorized to Open",
CRSA1293755,NOELVILLE,"CABANE A JOE","142 ST DAVID ST N UNIT 2","Authorized to Open",
CRSA1300312,LONDON,"Cannabis Link Express","1149 WESTERN RD UNIT 2","Authorized to Open",
CRSA1251768,CAMBRIDGE,"CANNABIS CUPBOARD","215 BEVERLY STREET UNIT 1","Authorized to Open",https://cannabiscupboard.ca
CRSA1190256,COBOURG,"The Peace Pipe","1 KING ST E UNIT 1A","Authorized to Open",https://peacepipe420.com
CRSA1197367,"NIAGARA FALLS","The Hunny Pot Cannabis Co.","6161 THOROLD STONE RD UNIT 5","Authorized to Open",https://thehunnypot.com
CRSA1201353,"EAST YORK",WEEDJAR,"1127B BROADVIEW AVE","Authorized to Open",https://weedjar.ca/
CRSA1306602,TORONTO,"NORTHERN HELM CANNABIS","1338 DANFORTH AVE","Authorized to Open",https://www.northernhelm.com/shopdanforth
CRSA1202727,PENETANGUISHENE,"POP'S CANNABIS CO. PENETANG","175 MAIN ST UNIT 4","Authorized to Open",https://popscannabis.ca/shop
CRSA1193708,SCARBOROUGH,"Cannabis Place","653 VICTORIA PARK AVE","Authorized to Open",https://rainbowcannabisplace.com/shop-toronto/
