Permit Number,StatusDesc,City,Operating Name,Street Address,Website,Last Updated
R1079-2028,Active,Swift Current,Canna Cabana - Swift Current,106 Central Ave N,www.cannacabana.com,2025-10-28
R1570-2028,Active,Saskatoon,Canna Cabana - Saskatoon,Unit 2 415 Circle Dr. E,,2025-10-28
R1337-2028,Active,Saskatoon,Canna Cabana - Saskatoon,3-2102 22nd St W,www.cannacabana.com,2025-10-28
R1483-2026,Active,Saskatoon,Canna Cabana - Saskatoon,212 20th St.  W,www.cannacabana.com,2025-10-28
R1294-2028,Active,Regina,Canna Cabana - Regina,155 Albert St N,www.cannacabana.com,2025-10-28
R1298-2028,Active,Regina,Canna Cabana - Regina,10-3710  Eastgate Dr,www.cannacabana.com,2025-10-28
R1301-2028,Active,Regina,Canna Cabana - Regina,970 Albert St,www.cannacabana.com,2025-10-28
R1278-2027,Active,Regina,Canna Cabana - Regina,2223 Victoria Ave E,www.cannacabana.com,2025-10-28
R1192-2027,Active,Regina,Canna Cabana - Regina,J2-2095 Prince of Wales Dr,www.cannacabana.com,2025-10-28
R1001-2027,Active,Moose Jaw,Canna Cabana - Moose Jaw,602 Main St,www.cannacabana.com,2025-10-28
R1245-2027,Active,Martensville,Canna Cabana - Martensville,228 Centennial Dr N,www.cannacabana.com,2025-10-28
R1521-2027,Active,Edenwold (RM),Canna Cabana - Edenwold (RM),40 Great Plains Rd.,www.cannacabana.com,2025-10-28
R1053-2028,Active,Prince Albert,Canaba Cannabis - Prince Albert,3332 2nd Ave W,www.canabacan.com,2025-10-28
R1281-2027,Active,Gravelbourg,Cafe Mary Jane - Gravelbourg,611  Main St,www.weedandsupply.com,2025-10-28
R1541-2028,Active,Buffalo Narrows,Buffalo Buds - Buffalo Narrows,425 Buffalo St,N/A,2025-10-28
R1505-2027,Active,Kipling,Buds N Suds Cannabis Shop - Kipling,900 Main St,N/A,2025-10-28
R1237-2027,Active,Shaunavon,Boomtown Bloom Cannabis - Shaunavon,379 Centre St,www.boomtownbloom.com,2025-10-28
