StoreName,City,Province,FullProvinceName,Address,PostalCode,Latitude,Longitude
BUDSIDE,TORONTO,ON,Ontario,2430 DANFORTH AVE,M4C 1K9,43.6877214,-79.3047265
Canna Cabana,ETOBICOKE,ON,Ontario,1020 ISLINGTON AVE UNIT 16,M8Z 6A4,43.6316509,-79.5190888
ONE PLANT,CORNWALL,ON,Ontario,1232 BROOKDALE AVE UNIT B,K6J 4P7,45.0275,-74.75329
HURBN CANNABIS COMPANY,KANATA,ON,Ontario,767 SILVER SEVEN RD UNIT 26,K2V 0A1,45.3017053,-75.9144938
LONDON CANNABIS,LONDON,ON,Ontario,"1025 WELLINGTON ROAD, UNIT A-2",N6E 1W4,42.9382325,-81.2260228
Canna Havana,CAMBRIDGE,ON,Ontario,827 KING ST E UNIT A,N3H 3P1,43.3951549,-80.3562512
The Higher Cannabis Company,TILBURY,ON,Ontario,30 MILL ST WEST,N0P 2L0,42.2633464,-82.4396442
EY CANNABIS 715 DANFORTH,TORONTO,ON,Ontario,715 DANFORTH AVE UNIT A,M4J 1L2,43.6790307,-79.3433017
Speedy Cannabis,HAMILTON,ON,Ontario,561 QUEENSTON RD SUITE 2,L8K 1J7,43.2312218,-79.7771945
Fika Distillery,TORONTO,ON,Ontario,49 TANK HOUSE LANE,M5A 3C4,43.6507303,-79.3573071
Ganjika House Queen and Airport,BRAMPTON,ON,Ontario,2880 QUEEN ST E UNIT 8,L6S 6E8,43.7426366,-79.6987486
Athena Cannabis,OTTAWA,ON,Ontario,782 EAGLESON RD UNIT D4,K2M 0N2,45.2805926,-75.8651782
Pop's Cannabis Co.,TORONTO,ON,Ontario,61 HANNA AVE UNIT 3,M6K 3N7,43.6395825,-79.4189154
True North Cannabis Company,SARNIA,ON,Ontario,129 MITTON ST S,N7T 3C5,42.9694535,-82.398742
True North Cannabis Company,PORT COLBORNE,ON,Ontario,349 KING ST,L3K 4H2,42.8890952,-79.2510933
TRUE NORTH CANNABIS CO.,WINDSOR,ON,Ontario,1368 OTTAWA ST,N8X 2E8,42.3102917,-83.0116167
True North Cannabis Co.,CAMBRIDGE,ON,Ontario,51 MAIN ST,N1R 1V4,43.3587539,-80.3142049
TRUE NORTH CANNABIS CO.,GRAVENHURST,ON,Ontario,125 MUSKOKA RD S,P1P 1X3,44.9195818,-79.3741024
HIGHTIES CANNABIS STORE,EMBRUN,ON,Ontario,825 NOTRE DAME ST,K0A 1W1,45.2690824,-75.2958305
Fika Canary,TORONTO,ON,Ontario,430 FRONT ST E UNIT 15A,M5A 0J6,43.6532506,-79.3565921
CANNA CABANA FORT WILLIAM,THUNDER BAY,ON,Ontario,949 FORT WILLIAM RD SUITE D10,P7B 3A6,48.4020417,-89.2410764
REGULATORS CANNABIS,LAKESHORE,ON,Ontario,35 AMY CROFT DR UNIT 5,N9K 1C7,42.3052982,-82.8650821
REGULATORS CANNABIS,WINDSOR,ON,Ontario,650 DIVISION RD UNIT 402,N8X 0A8,42.2696082,-82.9975268
THE WOODS CANNABIS,BRAMPTON,ON,Ontario,5 MONTPELIER ST UNIT A103,L6Y 6H4,43.6329792,-79.7840977
Cauldron Cannabis,WATFORD,ON,Ontario,5294 NAUVOO ROAD UNIT 101,N0M 2S0,42.9477806,-81.8798826
TOKYO SMOKE WELLINGTON ST,OTTAWA,ON,Ontario,1000 WELLINGTON ST W UNIT 101,K1Y 2X9,45.4051191,-75.7228743
Cannabis Cupboard,BRANTFORD,ON,Ontario,264 KING GEORGE RD UNIT D,N3R 5L5,43.1783951,-80.2792861
